Meal,Protein type,Carb type,Sauce,Veg needed,Optional veg
Bolognese,Quorn mince,Pasta,Bolognese Sauce,,
Burgers,n/a,"Bread, potato",,,Salad
Cauliflower cheese,,,,,
Chicken in white wine sauce,"Quorn pieces, Quorn fillets",Potato,,,
Chilli,Quorn mince,Rice,Chilli sauce,,
Crispbakes,n/a,Potato,n/a,,
Curry,Quorn pieces,Rice,Curry sauce,,
Enchiladas,Quorn pieces,Tortilla,n/a,,
Fajitas,Quorn pieces,Tortilla,n/a,Pepper,Tomatoes
Green thai curry,"Tofu, Quorn Pieces",Rice,Green Thai Paste,,
Halloumi salad,Cheese,Quinoa,n/a,"Pepper, mushroom",
Homemade pie,Quorn pieces,Pastry,,,
Honey and mustard,Quorn pieces,"Rice, Potato",Honey and mustard sauce,,
Lasagne,Quorn mince,Pasta,"Red sauce, white sauce",,
Meatballs,Meatballs,Potato,"Pasta sauce, Gravy",n/a,n/a
Meatballs and spaghetti,Meatballs,Pasta,Pasta sauce,,
Nachos,,,,,
Pad thai,"Tofu, Quorn Pieces",Noodles,n/a,,
Paella,"Sausage, Quorn pieces",Rice,,,
Pasta bake,Chickpeas,Pasta,Pasta bake sauce,,Spinach
Pies,n/a,Potato,Gravy,,
Pizza,n/a,Pizza base,n/a,n/a,Salad
Red thai curry,"Tofu, Quorn Pieces",Rice,Red Thai Paste,,
Risotto ,Sausage,Rice,n/a,Peas,
Roast dinner,Quorn,Potato,Gravy,,
Roasted vegetables,"Quorn pieces, Chickpeas","Garlic bread, Potato",n/a,Lots...,
Sausage and Mash,Sausage,Potato,Gravy,,
Shepherd's Pie,Quorn mince,Potato,Gravy,,
Spanish 'chicken',"Quorn pieces, Sausage, Halloumi",Potato,Spanish chicken sauce,Pepper,
Stir fry,"Tofu, Quorn Pieces","Noodles, Rice",Sweet and sour or kung po,,
Stroganoff,"Sausage, Mushroom",,,,
Stuffed peppers,Quorn mince,Potato,,Pepper,
Toad in the hole,Sausge,Batter,Gravy,,
Kebabs,Veggie kebab meat,Pitta bread,,Salad,
test,test,,,,
test2,,,,,